# Iteration, avehdxdev, chisquare, lambdamod, deltalambdamod, rate, Bh, Bc, work 
 8300 2.27019901584e-05 6.57172390178e-09 6.59088228811 3.28177484777e-07 0.000141759799495 2.0 0.35 2.54371833468
 8400 2.27010328565e-05 6.55882637515e-09 6.59109505965 3.17630100417e-07 0.000141765777502 2.0 0.35 2.54373833573
 8500 2.27001073174e-05 6.54634623717e-09 6.59130100131 3.07427287788e-07 0.000141771557641 2.0 0.35 2.54375777131
 8600 2.26992123983e-05 6.53426828936e-09 6.59150033561 2.9755718323e-07 0.000141777147001 2.0 0.35 2.54377665785
 8700 2.26983470052e-05 6.52257797982e-09 6.59169327743 2.88008384738e-07 0.000141782552371 2.0 0.35 2.54379501124
 8800 2.26975100899e-05 6.51126137006e-09 6.59188003435 2.78769931797e-07 0.000141787780256 2.0 0.35 2.54381284689
 8900 2.26967006477e-05 6.50030510374e-09 6.59206080687 2.69831281737e-07 0.000141792836895 2.0 0.35 2.54383017976
 9000 2.2695917715e-05 6.48969637747e-09 6.59223672334 2.64077440914e-07 0.00014179772827 2.0 0.35 2.54384702433
 9100 2.26951603669e-05 6.47942291328e-09 6.59240799216 2.55653668321e-07 0.000141802460127 2.0 0.35 2.54386339467
 9200 2.26944277155e-05 6.46947293288e-09 6.592573803 2.47501734965e-07 0.00014180703798 2.0 0.35 2.54387930442
 9300 2.2693718908e-05 6.45983513338e-09 6.59273433162 2.39612535882e-07 0.000141811467131 2.0 0.35 2.54389476681
 9400 2.26930331247e-05 6.45049866437e-09 6.59288974791 2.31977298047e-07 0.000141815752672 2.0 0.35 2.5439097947
 9500 2.26923695776e-05 6.44145310649e-09 6.59304021611 2.2458756749e-07 0.000141819899504 2.0 0.35 2.54392440054
 9600 2.26917275089e-05 6.43268845112e-09 6.59318589503 2.17435194812e-07 0.000141823912337 2.0 0.35 2.54393859645
 9700 2.26911061894e-05 6.42419508127e-09 6.59332693821 2.10512323279e-07 0.000141827795707 2.0 0.35 2.54395239416
 9800 2.26905049172e-05 6.41596375344e-09 6.59346349414 2.03811374227e-07 0.00014183155398 2.0 0.35 2.54396580509
 9900 2.26899230168e-05 6.40798558069e-09 6.59359570642 1.97325037743e-07 0.000141835191359 2.0 0.35 2.5439788403
10000 2.26893598373e-05 6.40025201642e-09 6.59372371393 1.91046260381e-07 0.000141838711893 2.0 0.35 2.54399151055
10100 2.26888147521e-05 6.39275483915e-09 6.593847651 1.84968236266e-07 0.000141842119483 2.0 0.35 2.54400382629
10200 2.26882871567e-05 6.38548613808e-09 6.59396764759 1.79084394434e-07 0.000141845417892 2.0 0.35 2.54401579764
10300 2.2687776469e-05 6.37843829946e-09 6.5940838294 1.73388392377e-07 0.000141848610744 2.0 0.35 2.54402743446
